                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.82024,                0.49476,                0.89723,                0.92034,                0.90094,                0.93835,                0.70473,                0.91241,                 0.5847,                0.93331,              0.0091684,              0.0091684,              0.0091684
                     86,                0.83281,                0.49597,                 0.8956,                0.94489,                0.89472,                0.94128,                0.71501,                0.89678,                0.57741,                0.93117,              0.0091585,              0.0091585,              0.0091585
                     87,                0.82929,                0.49852,                0.89721,                0.93723,                 0.9039,                0.93725,                0.68941,                0.91413,                0.61184,                0.92985,              0.0091486,              0.0091486,              0.0091486
                     88,                0.82635,                0.49238,                0.89932,                0.91765,                0.92669,                0.96488,                 0.7218,                0.91039,                0.56122,                 0.9322,              0.0091387,              0.0091387,              0.0091387
                     89,                0.80921,                0.49875,                0.89418,                0.91488,                0.92133,                0.95439,                 0.7197,                0.88918,                0.56725,                 0.9352,              0.0091288,              0.0091288,              0.0091288
                     90,                0.82261,                0.49255,                0.89283,                  0.937,                0.90655,                0.93623,                0.70527,                 0.9132,                 0.5914,                0.93618,              0.0091189,              0.0091189,              0.0091189
                     91,                0.84748,                0.49751,                0.90403,                0.94268,                  0.889,                0.94858,                0.72159,                0.92896,                0.56712,                0.95307,               0.009109,               0.009109,               0.009109
                     92,                 0.8086,                 0.4885,                0.89167,                0.90864,                0.92592,                0.95285,                0.71992,                 0.9177,                0.57277,                0.94233,              0.0090991,              0.0090991,              0.0090991
                     93,                0.80902,                0.48856,                0.89997,                0.91554,                0.91582,                 0.9502,                0.71968,                0.88773,                0.59421,                 0.9428,              0.0090892,              0.0090892,              0.0090892
                     94,                0.81802,                0.48759,                0.89683,                0.93032,                 0.9045,                0.95195,                0.70859,                0.92637,                0.57629,                0.93454,              0.0090793,              0.0090793,              0.0090793
                     95,                0.81087,                0.48693,                 0.8966,                0.93332,                0.88719,                0.94272,                0.71583,                0.87829,                0.56375,                0.92315,              0.0090694,              0.0090694,              0.0090694
                     96,                 0.8196,                0.49269,                  0.895,                0.92951,                0.89375,                0.94475,                0.72241,                0.88292,                0.58026,                0.92815,              0.0090595,              0.0090595,              0.0090595
                     97,                0.80536,                0.48693,                 0.8902,                0.92733,                0.92167,                0.95173,                0.72848,                0.88865,                0.57407,                0.93301,              0.0090496,              0.0090496,              0.0090496
                     98,                0.82235,                0.48897,                0.89784,                0.90355,                0.91434,                0.94831,                0.71142,                 0.9108,                0.57568,                0.95217,              0.0090397,              0.0090397,              0.0090397
                     99,                 0.8131,                0.47868,                0.89295,                0.93217,                0.91419,                0.95436,                0.72676,                0.88865,                0.57116,                0.93604,              0.0090298,              0.0090298,              0.0090298
                    100,                0.81386,                0.47777,                0.89496,                0.91251,                0.90981,                0.94896,                0.71965,                0.86267,                0.53737,                0.91536,              0.0090199,              0.0090199,              0.0090199
                    101,                0.79937,                0.47281,                0.89129,                0.93047,                0.89938,                0.94512,                0.73178,                0.87338,                0.54702,                0.92054,                0.00901,                0.00901,                0.00901
                    102,                0.79703,                0.47366,                0.89107,                0.93439,                0.89654,                0.93805,                0.71278,                0.91552,                0.56106,                0.92463,              0.0090001,              0.0090001,              0.0090001
                    103,                0.81535,                0.48271,                0.89106,                0.93133,                0.89943,                0.94078,                0.72147,                0.87455,                0.55929,                0.92017,              0.0089902,              0.0089902,              0.0089902
                    104,                0.79666,                0.46619,                0.89024,                0.94361,                0.91135,                 0.9478,                0.72657,                0.89864,                0.59491,                0.94131,              0.0089803,              0.0089803,              0.0089803
                    105,                0.80296,                0.47497,                0.89227,                0.92424,                0.91879,                0.94597,                0.71589,                0.87409,                0.57058,                0.91803,              0.0089704,              0.0089704,              0.0089704
                    106,                0.80471,                 0.4748,                0.88909,                0.92882,                0.92104,                0.95257,                0.72086,                0.88765,                0.55505,                0.92112,              0.0089605,              0.0089605,              0.0089605
                    107,                0.79185,                0.46738,                 0.8847,                0.94791,                0.92703,                0.96241,                0.72466,                0.87109,                0.53031,                0.92065,              0.0089506,              0.0089506,              0.0089506
                    108,                0.80461,                0.47317,                0.88736,                0.93653,                0.91188,                0.95266,                0.72327,                0.87033,                0.53208,                0.92623,              0.0089407,              0.0089407,              0.0089407
                    109,                0.79084,                0.46738,                 0.8825,                0.93085,                0.90051,                0.94151,                0.71771,                0.88179,                0.54609,                0.91858,              0.0089308,              0.0089308,              0.0089308
                    110,                0.78952,                0.46989,                0.88858,                0.94389,                0.91952,                0.95366,                0.72977,                0.87037,                0.54462,                0.91591,              0.0089209,              0.0089209,              0.0089209
                    111,                0.78701,                0.46017,                 0.8843,                0.93431,                 0.9165,                0.94918,                0.73095,                0.87494,                0.54073,                0.91374,               0.008911,               0.008911,               0.008911
                    112,                0.80253,                0.47124,                0.88972,                0.93295,                 0.9132,                0.95519,                0.73592,                0.88872,                0.54717,                0.92078,              0.0089011,              0.0089011,              0.0089011
                    113,                0.77994,                0.45985,                0.89121,                0.93355,                0.90834,                0.95372,                 0.7348,                0.89179,                0.53779,                0.91505,              0.0088912,              0.0088912,              0.0088912
                    114,                0.77228,                0.45287,                0.88561,                0.92788,                 0.9213,                0.94588,                0.72624,                0.88738,                 0.5574,                0.91051,              0.0088813,              0.0088813,              0.0088813
                    115,                0.78892,                0.47585,                0.88716,                0.94942,                0.90547,                0.95819,                 0.7223,                0.89345,                0.53736,                0.92065,              0.0088714,              0.0088714,              0.0088714
                    116,                0.77771,                0.46916,                0.88211,                 0.9378,                0.89192,                0.94223,                0.72709,                0.87924,                0.54789,                0.91528,              0.0088615,              0.0088615,              0.0088615
                    117,                0.77852,                0.46193,                0.88168,                0.93469,                0.91661,                0.94714,                0.73268,                0.86483,                0.54247,                0.91548,              0.0088516,              0.0088516,              0.0088516
